id,mine_id,borehole_id,latitude,longitude,depth_m,mn_grade_percent,fe_grade_percent,sio2_percent,p_percent,bulk_density_t_m3,rock_type,formation,core_recovery_percent,drill_date
1,1,BH-DON-001,21.551918,79.666034,37.8,44.35,6.91,12.58,0.159,3.76,Braunite-Gondite Ore,Chorbaoli Formation (Quartzite/Schist),85.7,2024-05-17
2,1,BH-DON-002,21.551874,79.694029,20.4,37.99,10.39,17.38,0.15,3.6,Braunite-Gondite Ore,Chorbaoli Formation (Quartzite/Schist),93.2,2022-11-28
3,1,BH-DON-003,21.540183,79.666454,72.0,48.63,8.43,11.53,0.161,3.82,Quartz-Muscovite Schist (Hanging Wall),Bichua Formation (Dolomitic Marble),84.0,2023-02-15
4,1,BH-DON-004,21.537582,79.667394,31.2,44.98,7.15,14.2,0.17,3.73,Lateritic Manganese Capping,Chorbaoli Formation (Quartzite/Schist),94.4,2021-06-13
5,1,BH-DON-005,21.554786,79.690156,190.3,35.24,9.85,12.88,0.163,3.58,Lateritic Manganese Capping,Mansar Formation (Main Mn Ore Horizon),91.7,2021-12-17
6,1,BH-DON-006,21.555434,79.672796,124.5,42.17,8.55,15.03,0.152,3.89,Manganiferous Quartzite,Mansar Formation (Main Mn Ore Horizon),85.7,2021-03-07
7,1,BH-DON-007,21.548632,79.696739,180.0,33.18,11.64,19.06,0.154,3.49,Lateritic Manganese Capping,Sitasaongi Formation (Quartz-Muscovite Schist),84.3,2021-10-13
8,1,BH-DON-008,21.545038,79.672786,65.6,45.96,6.42,10.79,0.11,3.72,Psilomelane-Pyrolusite Matrix,Bichua Formation (Dolomitic Marble),89.9,2025-03-28
9,1,BH-DON-009,21.56652,79.683938,24.7,44.65,8.78,12.4,0.131,3.84,Calc-Silicate Granulite (Footwall),Mansar Formation (Main Mn Ore Horizon),92.9,2021-08-23
10,1,BH-DON-010,21.546312,79.681224,154.8,36.62,9.36,15.19,0.152,3.55,Lateritic Manganese Capping,Lohangi Formation (Pink Calcite Marble & Calc-Granulite),97.6,2025-04-10
11,1,BH-DON-011,21.55811,79.684308,51.6,50.5,4.57,8.5,0.168,3.88,Calc-Silicate Granulite (Footwall),Mansar Formation (Main Mn Ore Horizon),91.6,2023-09-28
12,1,BH-DON-012,21.532745,79.696498,19.0,39.93,11.45,12.44,0.16,3.6,Braunite-Gondite Ore,Mansar Formation (Main Mn Ore Horizon),93.7,2025-07-30
13,1,BH-DON-013,21.562068,79.680123,29.2,43.11,6.16,14.01,0.171,3.67,Psilomelane-Pyrolusite Matrix,Bichua Formation (Dolomitic Marble),94.1,2024-11-13
14,1,BH-DON-014,21.549293,79.669246,56.2,46.46,5.65,16.53,0.149,3.75,Psilomelane-Pyrolusite Matrix,Mansar Formation (Main Mn Ore Horizon),87.4,2024-04-19
15,1,BH-DON-015,21.542555,79.6834,128.6,39.17,9.39,14.21,0.149,3.66,Manganiferous Quartzite,Sitasaongi Formation (Quartz-Muscovite Schist),85.4,2021-09-28
16,1,BH-DON-016,21.545314,79.668286,163.3,35.15,11.91,14.59,0.157,3.63,Lateritic Manganese Capping,Sitasaongi Formation (Quartz-Muscovite Schist),87.7,2023-04-22
17,1,BH-DON-017,21.56168,79.673842,110.7,42.35,6.67,13.76,0.153,3.66,Psilomelane-Pyrolusite Matrix,Bichua Formation (Dolomitic Marble),89.2,2023-05-15
18,1,BH-DON-018,21.561475,79.668415,52.6,47.99,4.5,11.26,0.18,3.92,Lateritic Manganese Capping,Bichua Formation (Dolomitic Marble),95.4,2021-07-11
19,1,BH-DON-019,21.544303,79.700361,204.9,34.24,10.45,15.35,0.16,3.5,Manganiferous Quartzite,Sitasaongi Formation (Quartz-Muscovite Schist),86.6,2024-11-27
20,1,BH-DON-020,21.541341,79.699764,211.3,33.81,12.71,16.72,0.16,3.47,Calc-Silicate Granulite (Footwall),Bichua Formation (Dolomitic Marble),83.0,2022-10-05
21,1,BH-DON-021,21.53735,79.686311,26.7,39.79,8.55,14.73,0.147,3.69,Lateritic Manganese Capping,Chorbaoli Formation (Quartzite/Schist),88.5,2024-03-12
22,1,BH-DON-022,21.54948,79.698539,65.5,47.4,5.45,9.27,0.12,3.89,Psilomelane-Pyrolusite Matrix,Lohangi Formation (Pink Calcite Marble & Calc-Granulite),85.8,2023-03-22
23,1,BH-DON-023,21.550928,79.668489,41.8,43.45,7.05,16.25,0.14,3.85,Calc-Silicate Granulite (Footwall),Chorbaoli Formation (Quartzite/Schist),90.1,2021-09-29
24,1,BH-DON-024,21.560675,79.690217,206.3,33.55,13.07,14.38,0.148,3.54,Calc-Silicate Granulite (Footwall),Bichua Formation (Dolomitic Marble),82.1,2025-08-01
25,1,BH-DON-025,21.536256,79.675033,128.7,40.47,8.82,14.81,0.146,3.77,Psilomelane-Pyrolusite Matrix,Lohangi Formation (Pink Calcite Marble & Calc-Granulite),85.3,2024-07-22
26,1,BH-DON-026,21.553494,79.694747,189.8,30.99,11.17,18.01,0.17,3.43,Braunite-Gondite Ore,Mansar Formation (Main Mn Ore Horizon),87.3,2021-09-25
27,1,BH-DON-027,21.562452,79.697431,145.6,36.43,12.31,13.8,0.148,3.61,Calc-Silicate Granulite (Footwall),Mansar Formation (Main Mn Ore Horizon),95.4,2024-04-07
28,1,BH-DON-028,21.565659,79.666326,128.3,39.54,9.03,14.43,0.125,3.79,Manganiferous Quartzite,Chorbaoli Formation (Quartzite/Schist),92.9,2024-09-27
29,1,BH-DON-029,21.561786,79.700033,36.1,45.11,5.12,9.62,0.16,3.89,Psilomelane-Pyrolusite Matrix,Sitasaongi Formation (Quartz-Muscovite Schist),82.4,2025-02-17
30,1,BH-DON-030,21.539594,79.670621,204.5,38.12,10.05,13.03,0.137,3.5,Lateritic Manganese Capping,Mansar Formation (Main Mn Ore Horizon),88.1,2021-03-21
31,1,BH-DON-031,21.531512,79.671843,191.0,34.38,13.18,15.04,0.162,3.54,Manganiferous Quartzite,Lohangi Formation (Pink Calcite Marble & Calc-Granulite),95.8,2025-05-03
32,1,BH-DON-032,21.564473,79.669042,72.2,45.98,6.52,9.9,0.169,3.79,Manganiferous Quartzite,Chorbaoli Formation (Quartzite/Schist),91.3,2022-06-28
33,1,BH-DON-033,21.563042,79.671733,22.8,39.7,8.67,14.57,0.136,3.69,Braunite-Gondite Ore,Sitasaongi Formation (Quartz-Muscovite Schist),82.0,2025-07-10
34,1,BH-DON-034,21.533179,79.688803,125.4,39.89,8.86,11.14,0.139,3.59,Manganiferous Quartzite,Bichua Formation (Dolomitic Marble),87.0,2025-10-03
35,1,BH-DON-035,21.537566,79.688827,40.5,47.33,6.02,9.9,0.129,3.8,Quartz-Muscovite Schist (Hanging Wall),Chorbaoli Formation (Quartzite/Schist),91.8,2022-09-09
36,1,BH-DON-036,21.5525,79.676491,98.2,42.12,9.03,11.72,0.158,3.85,Quartz-Muscovite Schist (Hanging Wall),Sitasaongi Formation (Quartz-Muscovite Schist),92.8,2023-11-13
37,1,BH-DON-037,21.542727,79.694353,112.0,46.22,5.96,11.57,0.156,3.7,Psilomelane-Pyrolusite Matrix,Lohangi Formation (Pink Calcite Marble & Calc-Granulite),85.6,2022-02-12
38,1,BH-DON-038,21.547055,79.696791,45.2,45.34,10.8,13.08,0.127,3.7,Calc-Silicate Granulite (Footwall),Chorbaoli Formation (Quartzite/Schist),93.5,2023-02-26
39,1,BH-DON-039,21.545965,79.671222,116.3,41.88,10.35,16.15,0.162,3.71,Lateritic Manganese Capping,Bichua Formation (Dolomitic Marble),89.4,2024-02-16
40,1,BH-DON-040,21.566224,79.686326,66.1,46.49,7.89,9.46,0.153,3.7,Quartz-Muscovite Schist (Hanging Wall),Bichua Formation (Dolomitic Marble),95.0,2023-10-31
41,1,BH-DON-041,21.560895,79.674873,102.5,46.66,6.35,12.94,0.186,3.69,Calc-Silicate Granulite (Footwall),Sitasaongi Formation (Quartz-Muscovite Schist),92.0,2022-07-17
42,1,BH-DON-042,21.533561,79.67032,105.2,45.19,7.34,10.38,0.124,3.93,Quartz-Muscovite Schist (Hanging Wall),Chorbaoli Formation (Quartzite/Schist),93.3,2021-05-12
43,1,BH-DON-043,21.564718,79.665593,100.0,43.46,9.27,15.59,0.173,3.64,Calc-Silicate Granulite (Footwall),Sitasaongi Formation (Quartz-Muscovite Schist),89.6,2022-12-22
44,1,BH-DON-044,21.557107,79.693685,76.2,50.33,4.5,11.77,0.162,3.82,Psilomelane-Pyrolusite Matrix,Sitasaongi Formation (Quartz-Muscovite Schist),85.5,2023-06-12
45,1,BH-DON-045,21.565966,79.684118,114.6,39.25,10.59,15.2,0.127,3.74,Quartz-Muscovite Schist (Hanging Wall),Bichua Formation (Dolomitic Marble),91.0,2021-02-25
46,2,BH-BAL-001,21.839342,80.220433,146.8,33.89,12.03,18.26,0.184,3.54,Quartz-Muscovite Schist (Hanging Wall),Lohangi Formation (Pink Calcite Marble & Calc-Granulite),94.0,2025-08-31
