id,mine_id,date,satellite_platform,ndvi,ndmi_moisture,lst_celsius,iron_oxide_ratio_b4_b2,clay_mineral_index_b11_b12,ferrous_iron_index,mn_mineralization_probability
1,1,2024-01-01,Sentinel-2 MSI,0.3094,0.1991,30.0,1.979,1.682,2.099,0.718
2,1,2024-01-31,Landsat-8 OLI/TIRS,0.422,0.3104,36.2,2.124,2.089,2.196,0.803
3,1,2024-03-01,Sentinel-2 MSI,0.2345,0.1379,44.6,2.369,1.605,1.839,0.769
4,1,2024-03-31,Landsat-8 OLI/TIRS,0.146,0.1049,44.5,2.48,2.374,1.739,0.914
5,1,2024-04-30,Sentinel-2 MSI,0.2728,0.0578,48.4,1.854,1.864,1.442,0.757
6,1,2024-05-30,Landsat-8 OLI/TIRS,0.1561,0.0592,42.4,2.007,1.57,2.079,0.823
7,1,2024-06-29,Sentinel-2 MSI,0.4693,0.2408,37.6,2.513,1.585,2.078,0.858
8,1,2024-07-29,Landsat-8 OLI/TIRS,0.6403,0.3631,30.6,2.428,1.859,1.495,0.733
9,1,2024-08-28,Sentinel-2 MSI,0.5904,0.3652,28.8,1.711,1.981,1.742,0.624
10,1,2024-09-27,Landsat-8 OLI/TIRS,0.6504,0.5606,31.1,2.524,1.7,2.006,0.76
11,1,2024-10-27,Sentinel-2 MSI,0.3411,0.2286,36.0,2.098,1.803,2.038,0.759
12,1,2024-11-26,Landsat-8 OLI/TIRS,0.3823,0.3142,31.1,1.766,1.719,1.935,0.701
13,1,2024-12-26,Sentinel-2 MSI,0.2807,0.283,34.8,1.927,2.021,1.859,0.851
14,1,2025-01-25,Landsat-8 OLI/TIRS,0.3616,0.2165,36.8,2.508,1.799,1.632,0.833
15,1,2025-02-24,Sentinel-2 MSI,0.329,0.2723,35.6,2.136,1.514,2.167,0.744
16,1,2025-03-26,Landsat-8 OLI/TIRS,0.149,0.1001,43.9,2.42,1.82,1.685,0.889
17,1,2025-04-25,Sentinel-2 MSI,0.2081,0.0928,46.4,2.378,1.519,2.185,0.774
18,1,2025-05-25,Landsat-8 OLI/TIRS,0.1694,0.1418,45.0,1.757,1.619,2.007,0.743
19,1,2025-06-24,Sentinel-2 MSI,0.2922,0.2743,32.7,1.455,2.15,2.245,0.788
20,1,2025-07-24,Landsat-8 OLI/TIRS,0.6386,0.4858,31.7,1.846,1.937,1.975,0.704
21,1,2025-08-23,Sentinel-2 MSI,0.58,0.5145,30.7,2.007,1.907,1.598,0.648
22,1,2025-09-22,Landsat-8 OLI/TIRS,0.7339,0.5265,29.8,2.473,1.726,1.918,0.731
23,1,2025-10-22,Sentinel-2 MSI,0.4347,0.2271,35.4,2.105,1.88,1.762,0.732
24,1,2025-11-21,Landsat-8 OLI/TIRS,0.4083,0.3102,37.5,2.225,1.834,2.073,0.783
25,1,2025-12-21,Sentinel-2 MSI,0.3113,0.256,32.2,1.86,2.032,1.829,0.743
26,1,2026-01-20,Landsat-8 OLI/TIRS,0.3632,0.2406,31.6,2.098,1.905,2.131,0.847
27,1,2026-02-19,Sentinel-2 MSI,0.4024,0.1884,34.2,2.263,1.728,1.575,0.771
28,1,2026-03-21,Landsat-8 OLI/TIRS,0.1886,0.0898,47.2,1.948,1.617,1.588,0.763
29,1,2026-04-20,Sentinel-2 MSI,0.2268,0.0912,46.6,2.042,1.539,1.412,0.705
30,1,2026-05-20,Landsat-8 OLI/TIRS,0.2086,0.1343,43.5,1.716,1.72,1.35,0.773
31,1,2026-06-19,Sentinel-2 MSI,0.3988,0.2369,33.8,1.715,1.612,1.566,0.7
32,1,2026-07-19,Landsat-8 OLI/TIRS,0.6573,0.5443,29.3,2.493,1.688,1.874,0.834
33,2,2024-01-01,Sentinel-2 MSI,0.4799,0.2602,36.4,1.483,1.77,1.899,0.59
34,2,2024-01-31,Landsat-8 OLI/TIRS,0.3281,0.3146,30.7,2.21,1.068,1.371,0.636
35,2,2024-03-01,Sentinel-2 MSI,0.2283,0.1473,41.6,2.273,1.263,1.713,0.773
36,2,2024-03-31,Landsat-8 OLI/TIRS,0.2507,0.0937,47.2,1.966,0.862,2.152,0.661
37,2,2024-04-30,Sentinel-2 MSI,0.1885,0.1167,42.5,1.375,1.826,1.491,0.67
38,2,2024-05-30,Landsat-8 OLI/TIRS,0.2788,0.1534,44.2,1.504,1.567,1.354,0.683
39,2,2024-06-29,Sentinel-2 MSI,0.4335,0.1994,34.4,1.481,1.341,1.876,0.669
40,2,2024-07-29,Landsat-8 OLI/TIRS,0.6197,0.475,27.1,1.462,1.69,1.353,0.566
41,2,2024-08-28,Sentinel-2 MSI,0.5722,0.4985,29.1,1.355,1.513,1.476,0.484
42,2,2024-09-27,Landsat-8 OLI/TIRS,0.7255,0.3979,26.9,1.482,1.311,1.713,0.528
43,2,2024-10-27,Sentinel-2 MSI,0.3861,0.3051,36.9,1.738,1.986,1.384,0.658
44,2,2024-11-26,Landsat-8 OLI/TIRS,0.3262,0.3088,31.3,1.369,1.852,1.643,0.665
45,2,2024-12-26,Sentinel-2 MSI,0.4639,0.1971,34.8,1.529,1.356,1.686,0.568
46,2,2025-01-25,Landsat-8 OLI/TIRS,0.4408,0.2748,37.7,1.552,1.524,1.387,0.599
47,2,2025-02-24,Sentinel-2 MSI,0.4789,0.2607,34.4,1.447,1.466,1.663,0.605
48,2,2025-03-26,Landsat-8 OLI/TIRS,0.1958,0.1065,46.7,1.814,1.186,1.318,0.626
49,2,2025-04-25,Sentinel-2 MSI,0.2232,0.0513,48.3,1.965,1.387,1.76,0.707
50,2,2025-05-25,Landsat-8 OLI/TIRS,0.237,0.1032,45.6,1.54,1.255,0.911,0.542
51,2,2025-06-24,Sentinel-2 MSI,0.4291,0.2938,36.6,1.222,1.408,1.451,0.572
52,2,2025-07-24,Landsat-8 OLI/TIRS,0.5479,0.4958,33.0,1.628,1.44,1.317,0.508
53,2,2025-08-23,Sentinel-2 MSI,0.6021,0.4668,32.4,1.642,1.731,1.632,0.672
54,2,2025-09-22,Landsat-8 OLI/TIRS,0.6054,0.3664,31.8,1.431,1.498,1.764,0.543
55,2,2025-10-22,Sentinel-2 MSI,0.4186,0.2366,35.4,1.319,1.807,1.748,0.667
56,2,2025-11-21,Landsat-8 OLI/TIRS,0.2946,0.1837,31.7,1.336,1.33,1.518,0.564
57,2,2025-12-21,Sentinel-2 MSI,0.313,0.1915,33.8,1.629,1.5,1.855,0.616
58,2,2026-01-20,Landsat-8 OLI/TIRS,0.4472,0.2005,34.4,1.439,1.105,1.671,0.496
59,2,2026-02-19,Sentinel-2 MSI,0.4426,0.2737,33.7,1.56,1.511,1.508,0.673
60,2,2026-03-21,Landsat-8 OLI/TIRS,0.1615,0.1193,41.1,1.405,1.059,1.031,0.643
