id,mine_id,date,rainfall_mm,temperature_max_c,temperature_min_c,humidity_percent,soil_moisture_index,wind_speed_kmh
1,1,2024-01-01,0.0,27.0,12.4,51.6,0.251,14.3
2,1,2024-01-02,0.0,30.2,10.9,61.0,0.177,6.5
3,1,2024-01-03,0.0,26.7,12.8,40.6,0.26,12.3
4,1,2024-01-04,0.0,29.7,11.1,41.3,0.252,11.5
5,1,2024-01-05,0.0,28.5,9.1,42.0,0.223,10.8
6,1,2024-01-06,0.0,29.9,13.2,47.4,0.241,11.4
7,1,2024-01-07,0.0,30.4,12.9,47.5,0.172,15.5
8,1,2024-01-08,0.0,27.6,12.6,54.6,0.171,11.2
9,1,2024-01-09,0.0,26.1,10.8,61.8,0.246,9.7
10,1,2024-01-10,0.0,29.0,11.7,45.0,0.168,16.7
11,1,2024-01-11,0.0,27.2,12.1,41.9,0.23,12.0
12,1,2024-01-12,0.0,26.1,11.6,40.6,0.185,10.0
13,1,2024-01-13,0.0,27.0,11.3,46.8,0.195,13.3
14,1,2024-01-14,0.0,27.4,14.2,46.7,0.201,4.8
15,1,2024-01-15,0.0,28.5,13.9,55.4,0.25,6.6
16,1,2024-01-16,0.0,27.0,10.7,53.8,0.176,15.6
17,1,2024-01-17,0.0,27.1,14.5,57.5,0.216,14.4
18,1,2024-01-18,0.0,30.3,13.2,44.9,0.227,12.5
19,1,2024-01-19,0.0,30.4,13.9,41.7,0.198,10.8
20,1,2024-01-20,0.0,26.4,14.2,53.0,0.206,6.7
21,1,2024-01-21,0.0,28.0,10.5,49.2,0.274,6.8
22,1,2024-01-22,0.0,27.8,12.7,51.5,0.219,6.1
23,1,2024-01-23,0.0,26.9,12.8,45.5,0.241,18.4
24,1,2024-01-24,0.0,27.6,10.4,58.2,0.24,16.4
25,1,2024-01-25,0.0,29.5,9.1,52.6,0.228,9.5
26,1,2024-01-26,0.0,27.0,13.6,49.1,0.164,16.6
27,1,2024-01-27,0.0,27.7,9.6,59.8,0.197,10.3
28,1,2024-01-28,1.7,26.3,12.2,61.7,0.184,9.4
29,1,2024-01-29,0.0,30.3,9.7,51.3,0.246,14.3
30,1,2024-01-30,0.0,26.6,11.0,47.8,0.17,14.5
31,1,2024-01-31,0.0,28.2,9.4,43.6,0.272,16.5
32,1,2024-02-01,0.0,34.2,23.6,53.0,0.272,11.2
33,1,2024-02-02,0.0,36.6,21.6,62.3,0.247,3.7
34,1,2024-02-03,0.0,36.0,21.6,53.7,0.27,2.0
35,1,2024-02-04,0.0,32.8,19.9,55.1,0.314,8.8
36,1,2024-02-05,0.5,35.6,21.1,60.6,0.278,9.8
37,1,2024-02-06,0.0,34.3,19.0,58.9,0.331,9.4
38,1,2024-02-07,0.0,33.3,23.0,48.2,0.215,6.1
39,1,2024-02-08,0.0,34.6,18.2,56.1,0.205,11.5
40,1,2024-02-09,0.0,36.5,22.2,49.5,0.344,16.6
41,1,2024-02-10,0.0,35.8,23.5,52.9,0.229,12.1
42,1,2024-02-11,0.0,36.5,22.8,49.2,0.276,16.5
43,1,2024-02-12,0.0,35.2,23.4,60.2,0.203,11.3
44,1,2024-02-13,0.0,36.1,19.7,48.4,0.199,14.4
45,1,2024-02-14,0.0,36.8,18.5,45.6,0.22,15.7
46,1,2024-02-15,0.0,37.1,19.4,52.9,0.33,11.6
47,1,2024-02-16,0.9,36.2,21.8,56.7,0.259,9.1
48,1,2024-02-17,0.0,36.7,21.1,68.1,0.307,14.4
49,1,2024-02-18,0.0,33.1,23.4,65.2,0.342,15.1
50,1,2024-02-19,0.0,33.5,20.1,69.9,0.32,12.7
51,1,2024-02-20,0.0,33.0,20.4,56.2,0.328,11.6
52,1,2024-02-21,0.0,37.2,18.8,59.9,0.311,6.1
53,1,2024-02-22,0.0,34.1,18.7,58.3,0.305,17.4
54,1,2024-02-23,0.0,37.9,21.5,69.5,0.324,7.5
55,1,2024-02-24,0.0,34.2,23.4,56.0,0.213,7.1
56,1,2024-02-25,0.0,35.2,20.5,67.4,0.282,4.0
57,1,2024-02-26,0.0,34.1,23.8,46.8,0.207,14.6
58,1,2024-02-27,0.0,35.2,23.0,56.0,0.337,9.0
59,1,2024-02-28,0.0,32.9,18.3,64.0,0.328,9.1
60,1,2024-02-29,0.0,36.4,22.3,63.7,0.203,15.4
61,1,2024-03-01,0.0,33.5,18.1,46.8,0.347,6.3
62,1,2024-03-02,0.0,34.4,23.7,53.5,0.284,16.5
63,1,2024-03-03,0.7,34.5,19.1,49.3,0.337,2.0
64,1,2024-03-04,1.2,34.2,20.3,66.3,0.343,15.0
65,1,2024-03-05,0.0,34.5,20.0,51.6,0.216,13.0
66,1,2024-03-06,0.0,32.9,20.8,61.5,0.347,9.6
67,1,2024-03-07,0.0,32.9,20.7,64.5,0.322,5.2
68,1,2024-03-08,0.0,35.2,22.1,52.2,0.215,20.4
69,1,2024-03-09,0.0,32.5,21.9,69.0,0.25,9.6
70,1,2024-03-10,0.0,37.8,22.0,55.6,0.252,13.8
71,1,2024-03-11,0.0,34.1,19.3,56.3,0.253,20.1
72,1,2024-03-12,0.0,33.1,23.1,47.9,0.235,13.2
73,1,2024-03-13,0.0,36.5,19.6,47.0,0.345,10.5
74,1,2024-03-14,0.0,37.4,21.0,45.9,0.247,5.3
75,1,2024-03-15,0.0,34.9,23.9,55.0,0.23,7.6
76,1,2024-03-16,0.0,33.2,18.4,49.9,0.315,7.5
77,1,2024-03-17,2.3,35.6,23.1,57.4,0.289,9.3
78,1,2024-03-18,0.0,37.4,22.6,53.5,0.303,16.1
79,1,2024-03-19,0.0,34.4,20.3,59.9,0.284,12.6
80,1,2024-03-20,0.0,32.4,19.0,64.0,0.314,5.0
81,1,2024-03-21,0.0,37.6,22.3,66.5,0.262,14.3
82,1,2024-03-22,0.0,33.7,19.5,67.8,0.267,8.5
83,1,2024-03-23,0.0,36.4,22.2,68.7,0.22,13.0
84,1,2024-03-24,0.0,34.8,19.8,51.0,0.317,10.2
85,1,2024-03-25,0.0,35.0,19.2,55.3,0.305,11.9
86,1,2024-03-26,0.0,37.9,22.2,55.3,0.291,15.3
87,1,2024-03-27,0.0,33.9,22.6,46.9,0.33,11.5
88,1,2024-03-28,0.0,32.6,22.9,48.9,0.263,20.5
89,1,2024-03-29,0.0,37.7,22.4,60.7,0.312,13.9
90,1,2024-03-30,0.0,35.8,23.4,56.7,0.232,11.7
91,1,2024-03-31,0.0,36.4,22.1,69.8,0.247,18.1
92,1,2024-04-01,0.0,43.1,28.4,37.2,0.087,6.3
93,1,2024-04-02,0.0,41.8,28.2,36.0,0.157,8.2
94,1,2024-04-03,0.0,45.1,26.0,36.1,0.176,8.7
95,1,2024-04-04,0.0,45.0,26.7,25.0,0.18,9.2
96,1,2024-04-05,0.0,42.2,27.6,36.9,0.083,10.7
97,1,2024-04-06,0.0,44.4,28.6,34.0,0.141,13.0
98,1,2024-04-07,0.0,41.7,30.8,31.5,0.173,11.4
99,1,2024-04-08,0.0,43.4,27.1,31.9,0.087,17.1
100,1,2024-04-09,0.0,45.8,30.4,32.4,0.104,18.5
101,1,2024-04-10,0.0,42.6,30.4,22.7,0.099,12.8
102,1,2024-04-11,0.0,42.1,26.8,24.4,0.083,7.0
103,1,2024-04-12,0.0,41.9,26.6,37.6,0.159,5.3
104,1,2024-04-13,0.0,45.1,26.5,32.1,0.127,8.6
105,1,2024-04-14,0.0,44.0,28.8,29.6,0.145,14.3
106,1,2024-04-15,0.0,42.1,26.1,27.4,0.121,15.1
107,1,2024-04-16,0.0,45.1,29.6,33.6,0.17,6.1
108,1,2024-04-17,0.0,43.8,28.4,34.3,0.117,7.4
109,1,2024-04-18,0.0,44.0,26.3,24.0,0.14,6.2
110,1,2024-04-19,0.0,41.9,26.8,21.0,0.082,14.9
111,1,2024-04-20,0.0,43.4,26.4,28.3,0.121,4.2
112,1,2024-04-21,0.0,43.7,27.9,28.1,0.147,11.3
113,1,2024-04-22,1.1,44.4,26.7,22.8,0.091,10.2
114,1,2024-04-23,0.0,43.0,29.1,31.1,0.105,14.2
115,1,2024-04-24,0.0,41.7,28.4,27.2,0.105,3.9
116,1,2024-04-25,0.0,43.4,29.5,36.5,0.084,12.5
117,1,2024-04-26,0.0,41.3,26.9,34.4,0.127,11.0
118,1,2024-04-27,0.0,45.0,27.3,27.8,0.138,7.2
119,1,2024-04-28,0.0,45.1,29.4,24.9,0.097,9.5
120,1,2024-04-29,0.0,43.6,30.8,24.5,0.158,2.2
121,1,2024-04-30,0.0,41.2,26.5,25.7,0.123,6.1
122,1,2024-05-01,0.0,41.1,30.1,29.4,0.117,15.6
123,1,2024-05-02,0.0,41.7,30.1,24.7,0.178,14.8
124,1,2024-05-03,0.0,46.2,26.5,29.6,0.139,12.8
125,1,2024-05-04,0.0,44.3,28.3,27.2,0.176,16.4
126,1,2024-05-05,0.0,41.3,28.6,33.5,0.144,11.1
127,1,2024-05-06,0.0,44.7,29.4,27.4,0.164,9.9
128,1,2024-05-07,0.0,42.5,30.7,23.6,0.164,7.6
129,1,2024-05-08,0.0,46.3,30.8,25.5,0.136,7.6
130,1,2024-05-09,0.0,43.2,29.9,23.8,0.11,12.4
131,1,2024-05-10,0.0,43.2,26.7,35.7,0.097,9.6
132,1,2024-05-11,0.0,42.7,28.8,31.8,0.121,14.5
133,1,2024-05-12,1.1,42.4,26.5,26.1,0.114,15.8
134,1,2024-05-13,0.0,43.0,27.2,29.0,0.17,13.2
135,1,2024-05-14,0.0,43.1,28.6,33.0,0.136,17.6
136,1,2024-05-15,0.0,46.0,27.9,36.7,0.156,16.5
137,1,2024-05-16,0.0,41.3,30.2,36.1,0.152,2.0
138,1,2024-05-17,0.0,43.9,30.2,32.0,0.167,16.5
139,1,2024-05-18,0.0,43.9,27.8,36.3,0.178,17.3
140,1,2024-05-19,0.0,45.1,29.8,34.9,0.096,11.5
141,1,2024-05-20,0.0,43.4,28.5,22.6,0.084,13.7
142,1,2024-05-21,0.0,43.9,28.6,27.7,0.17,7.6
143,1,2024-05-22,0.0,41.6,27.3,30.8,0.17,15.6
144,1,2024-05-23,0.0,41.4,27.8,29.7,0.12,9.0
145,1,2024-05-24,0.0,42.2,29.5,27.9,0.168,12.1
146,1,2024-05-25,0.0,46.1,29.5,28.5,0.16,18.5
147,1,2024-05-26,0.0,44.1,27.3,25.1,0.095,16.1
148,1,2024-05-27,0.0,46.4,29.3,34.4,0.131,11.7
149,1,2024-05-28,0.0,41.9,30.1,34.7,0.16,13.1
150,1,2024-05-29,0.0,41.5,27.8,26.9,0.095,9.8
151,1,2024-05-30,0.0,46.4,27.4,31.0,0.088,7.5
152,1,2024-05-31,0.0,46.1,29.6,24.3,0.099,9.1
153,1,2024-06-01,10.0,37.8,21.8,65.5,0.344,21.2
154,1,2024-06-02,14.5,33.9,23.6,56.2,0.301,7.4
155,1,2024-06-03,0.0,33.2,19.8,60.0,0.322,9.7
156,1,2024-06-04,0.0,36.4,21.6,46.5,0.262,5.5
157,1,2024-06-05,0.0,37.4,23.5,57.3,0.315,13.8
158,1,2024-06-06,0.0,34.9,23.8,61.2,0.22,12.5
159,1,2024-06-07,18.4,32.7,19.5,58.7,0.264,12.2
160,1,2024-06-08,0.0,34.0,22.0,65.0,0.199,18.2
161,1,2024-06-09,13.2,33.9,19.5,61.3,0.27,6.6
162,1,2024-06-10,0.0,34.2,19.6,54.7,0.284,10.5
163,1,2024-06-11,0.0,37.0,22.1,66.4,0.192,10.0
164,1,2024-06-12,16.6,33.4,23.9,53.4,0.19,16.2
165,1,2024-06-13,0.0,33.5,20.8,66.5,0.25,11.4
166,1,2024-06-14,0.0,35.5,19.7,45.1,0.185,7.6
167,1,2024-06-15,16.0,37.2,20.1,48.4,0.209,21.4
